sex,sex_zh,height_cm,shoe_length_cm
male,男性,95.67,14.8
male,男性,147.66,19.69
male,男性,100.18,13.73
male,男性,126.0,18.68
male,男性,128.02,17.08
male,男性,87.52,12.6
male,男性,98.49,15.85
male,男性,140.8,18.16
male,男性,93.19,13.93
male,男性,144.77,19.08
male,男性,93.01,11.84
male,男性,121.42,15.29
male,男性,93.69,13.71
male,男性,127.33,17.21
male,男性,119.03,19.57
male,男性,88.11,11.34
male,男性,136.32,17.76
male,男性,119.72,17.33
male,男性,92.37,13.75
male,男性,82.91,10.81
male,男性,130.56,16.36
male,男性,121.57,15.4
male,男性,118.84,16.7
male,男性,139.95,21.53
male,男性,141.26,21.0
male,男性,138.41,22.3
male,男性,111.44,15.3
male,男性,141.61,19.2
male,男性,149.61,24.4
male,男性,146.27,22.41
male,男性,97.06,12.22
male,男性,84.42,11.71
male,男性,115.87,15.69
male,男性,119.86,15.43
male,男性,148.5,22.27
male,男性,140.45,19.79
male,男性,95.39,14.88
male,男性,126.88,16.5
male,男性,121.5,19.5
male,男性,87.12,14.46
male,男性,134.74,18.32
male,男性,120.13,17.34
male,男性,149.96,19.6
male,男性,99.35,13.39
male,男性,102.27,14.12
male,男性,80.83,10.83
male,男性,148.94,18.76
male,男性,88.62,13.35
male,男性,87.49,11.35
male,男性,125.36,20.19
male,男性,82.03,10.47
male,男性,127.55,18.18
male,男性,109.31,15.46
male,男性,140.01,18.93
male,男性,103.57,14.6
male,男性,132.06,21.03
male,男性,103.64,14.68
male,男性,138.11,17.97
