sex,sex_zh,height_cm,shoe_length_cm
male,男童,128.6,19.57
male,男童,84.12,13.0
male,男童,105.82,14.13
male,男童,87.63,11.04
male,男童,84.36,10.88
male,男童,112.85,16.55
male,男童,107.02,14.83
male,男童,104.91,14.57
male,男童,89.71,14.76
male,男童,106.53,14.46
male,男童,93.92,12.32
male,男童,95.7,14.25
male,男童,90.7,11.75
male,男童,86.37,10.82
male,男童,83.88,11.71
male,男童,83.45,10.68
male,男童,79.32,11.55
male,男童,107.21,16.16
male,男童,122.39,20.12
male,男童,95.91,13.21
male,男童,85.8,13.13
male,男童,129.44,16.29
male,男童,110.45,15.13
male,男童,132.78,17.81
male,男童,129.82,16.52
male,男童,102.62,13.52
male,男童,129.68,16.28
male,男童,125.24,17.33
male,男童,103.44,16.23
male,男童,142.13,22.14
male,男童,86.46,11.12
male,男童,77.78,12.21
male,男童,83.71,10.87
male,男童,83.43,10.83
male,男童,95.67,14.8
male,男童,147.66,19.69
male,男童,100.18,13.73
male,男童,126.0,18.68
male,男童,128.02,17.08
male,男童,87.52,12.6
male,男童,98.49,15.85
male,男童,140.8,18.16
male,男童,93.19,13.93
male,男童,144.77,19.08
male,男童,93.01,11.84
male,男童,121.42,15.29
male,男童,93.69,13.71
male,男童,127.33,17.21
male,男童,119.03,19.57
male,男童,88.11,11.34
male,男童,136.32,17.76
male,男童,119.72,17.33
male,男童,92.37,13.75
male,男童,82.91,10.81
male,男童,130.56,16.36
male,男童,121.57,15.4
male,男童,118.84,16.7
male,男童,139.95,21.53
male,男童,141.26,21.0
male,男童,138.41,22.3
male,男童,111.44,15.3
male,男童,141.61,19.2
male,男童,149.61,24.4
male,男童,146.27,22.41
male,男童,97.06,12.22
male,男童,84.42,11.71
male,男童,115.87,15.69
male,男童,119.86,15.43
male,男童,148.5,22.27
male,男童,140.45,19.79
male,男童,95.39,14.88
male,男童,126.88,16.5
male,男童,121.5,19.5
male,男童,87.12,14.46
male,男童,134.74,18.32
male,男童,120.13,17.34
male,男童,149.96,19.6
male,男童,99.35,13.39
male,男童,102.27,14.12
male,男童,80.83,10.83
male,男童,148.94,18.76
male,男童,88.62,13.35
male,男童,87.49,11.35
male,男童,125.36,20.19
male,男童,82.03,10.47
male,男童,127.55,18.18
male,男童,109.31,15.46
male,男童,140.01,18.93
male,男童,103.57,14.6
male,男童,132.06,21.03
male,男童,103.64,14.68
male,男童,138.11,17.97
